Infinite ID	Base ID	Answer
1	179	DANCER
2	496	EAT
3	91	CURE
4	496	O
5	566	DRESS
6	281	EAVESDROP
7	91	EMINENCE
8	496	AMOK
9	91	COUP
10	496	H
11	91	PERSONALLY
12	179	UNCAREDFOR
13	496	ZIPPY
14	91	ZITHER
15	496	LOFTINESS
16	91	EXPONENT
17	566	RAISE
18	281	SHAMBLES
19	179	OUR
20	91	POLYTHEISM
21	496	AD
22	281	SINGER
23	179	FLUORIDE
24	566	EVICT
25	91	FINERY
26	496	INTEND
27	281	NONFATAL
28	179	FLED
29	566	SALON
30	91	CONFOUND
31	496	PITHY
32	179	FORETOLD
33	281	NUMBERLESS
34	91	ANNEAL
35	566	RODEO
36	496	CAN
37	179	TOO
38	91	WORTHY
39	566	ATTIC
40	281	EMIRATE
41	496	FLARE
42	179	OUTDOORS
43	566	ITCHY
44	91	BRUNETTE
45	496	DEMENTED
46	179	DOUR
47	281	PICKUP
48	566	SITAR
49	91	PLURAL
50	281	SPLATTER
51	496	DISREGARD
52	179	UNDERTOW
53	566	ENSUE
54	91	FACTIONALISM
55	281	SHIM
56	496	ROADWAY
57	566	VENUS
58	179	NEW
59	281	NONPOLLUTING
60	91	LOUD
61	566	IDLER
62	496	MERGANSER
63	281	EXPEDITER
64	179	NEWSLETTER
65	496	DUD
66	91	DEGENERATE
67	566	TREAT
68	281	SUFFUSE
69	179	LETTER
70	496	FE
71	91	WATERTIGHT
72	281	NONMALIGNANT
73	566	STICK
74	496	NOW
75	179	ELECTROLYTE
76	91	BRONZE
77	566	ABORT
78	179	CLOY
79	281	NUB
80	496	BUSYBODY
81	91	CURT
82	566	LEARN
83	179	VELOCITY
84	281	TERRITORY
85	91	ANNEAL
86	496	BOER
87	566	REDID
88	179	TIE
89	281	SPLITLEVEL
90	91	OVERTURE
91	496	TUMBLE
92	566	OTTER
93	179	MARIONETTE
94	281	SUCKLING
95	91	IMMINENTLY
96	496	OF
97	179	MATRON
98	566	EPOCH
99	91	SHORTAGE
100	281	MONDAY
101	179	ORNAMENTAL
102	496	ATONAL
103	281	NIGHTMARISH
104	91	CANNONBALL
105	566	ODIUM
106	179	LEA
107	281	NOPE
108	496	SOAK
109	91	FOURTEEN
110	566	APART
111	281	EYE
112	179	FLAGELLA
113	91	KNEW
114	496	BED
115	566	TERMS
116	281	SLOBBER
117	179	GALL
118	91	ESPOUSAL
119	566	INTER
120	496	HOP
121	281	WARHEAD
122	179	LEGISLATOR
123	91	EFFRONTERY
124	566	CREED
125	281	SECRETARY
126	179	STORE
127	496	GOSSAMER
128	91	UNWORTHINESS
129	281	CHARGEABLE
130	179	IRRESOLUTE
131	566	ISLET
132	496	KEN
133	91	DEGENERACY
134	179	LIEU
135	281	SENSITIVE
136	566	TESTY
137	91	REPERTOIRE
138	496	NO
139	179	INSULATE
140	281	SWEEPSTAKES
141	566	CIRCA
142	91	REFINEMENT
143	496	RESPECT
144	179	TAN
145	91	DEPORTMENT
146	281	NOTHINGNESS
147	496	ORCHESTRA
148	566	YOUVE
149	179	ASTRINGENT
150	496	HYDRA
151	91	LINEUP
152	281	NUMSKULL
153	179	SINGER
154	566	STAND
155	496	F
156	91	PRECIOUSNESS
157	179	REGRESSION
158	281	HAIRRAISING
159	496	AG
160	91	FINELY
161	566	INPUT
162	179	ORE
163	281	WATCHER
164	91	REPORTEDLY
165	496	POPULIST
166	281	SICKBED
167	566	THUMP
168	179	RELOCATE
169	91	KNEE
170	496	PUNGENCY
171	281	EVASIVELY
172	566	AURAL
173	179	TALC
174	91	TOUR
175	496	CRUX
176	566	NOTED
177	281	STRIVE
178	179	VACANTLY
179	91	WINERY
180	496	R
181	281	WEIRDLY
182	566	STEEL
183	179	NAY
184	91	MORTAL
185	281	FIXATIVE
186	566	USAGE
187	179	YEARLING
188	496	SQUEAMISH
189	91	UNWONTED
190	281	ENCASE
191	566	VOUCH
192	179	GIRL
193	91	ACCURSED
194	281	WARBLER
195	496	SKILLET
196	566	EMOTE
197	179	LINGERER
198	91	SPONGY
199	281	SINGULARITY
200	496	V
201	179	ERE
202	566	NOWIN
203	91	HENCEFORWARD
204	281	ENJOY
205	179	INTERFACE
206	496	PARLEY
207	91	BLONDE
208	566	UNWED
209	179	ANTIC
210	281	WOODSHED
211	496	CORDUROYS
212	91	SOUP
213	566	IRATE
214	281	STUDIO
215	179	DENUNCIATION
216	496	AWL
217	91	IRONIC
218	566	DUTCH
219	281	EXPIRE
220	179	UNDONE
221	496	GOLDSMITH
222	566	LITER
223	91	HENCEFORWARD
224	179	PRONOUNCED
225	281	BOUDOIR
226	91	SANELY
227	496	OWNERSHIP
228	566	REBEL
229	281	SEXUALITY
230	179	COP
231	91	UNINFORMED
232	566	TRASH
233	281	SENSUOUSLY
234	496	SLY
235	179	ENCOMPASS
236	91	VIGNETTE
237	179	MANSE
238	566	RELAX
239	281	NEWS
240	496	RADIATE
241	91	MARTYR
242	179	MENSTRUATE
243	566	EVICT
244	496	MANSE
245	91	DEGENERACY
246	281	NEPTUNIUM
247	566	AMOUR
248	179	TRUE
249	91	REFORM
250	496	D
251	281	RHAPSODY
252	566	TOTAL
253	91	DEGENERATE
254	179	DISREPUTABLE
255	496	I
256	91	SOUP
257	281	EGREGIOUS
258	179	PIEBALD
259	496	JEANS
260	566	SNAKE
261	91	DISCONCERT
262	179	IMPONDERABLE
263	281	WONDERFULLY
264	91	OVERTOOK
265	496	STERLING
266	566	TOADY
267	179	NORM
268	281	SCUFFLE
269	91	PHONEMIC
270	496	SR
271	566	INTRO
272	281	EVASIVE
273	179	GOVERNMENTAL
274	91	INYOURFACE
275	496	F
276	566	KHAKI
277	281	WALLED
278	179	ELEGANT
279	496	VIDEODISC
280	91	COLONIST
281	566	ARSON
282	281	SPECIALTY
283	496	BIVALVE
284	179	ENERGETICALLY
285	91	GATHER
286	179	LYRIC
287	281	EXTRICATE
288	566	BEBOP
289	496	PICK
290	91	BARONESS
291	281	AGAVE
292	179	SINCERELY
293	91	ENOUGH
294	496	RUBBERIZE
295	566	REIGN
296	179	SEE
297	281	NOODLE
298	496	BADE
299	91	MAGNESIA
300	566	TORSO
301	179	FORESEEABLE
302	496	TERN
303	281	NORTHERNER
304	179	EARLOBE
305	91	PROPORTIONAL
306	566	LIVER
307	281	SENSATIONALIST
308	496	CLIME
309	179	DELIBERATION
310	91	DETHRONEMENT
311	566	EDICT
312	281	SECONDRATE
313	496	GILTEDGED
314	91	PROFOUND
315	179	DINT
316	281	NORTHERLY
317	566	ATRIA
318	496	OX
319	179	RESIDENT
320	91	ANNEAL
321	566	RAYON
322	281	NIMBI
323	496	ROW
324	179	SEE
325	91	FAMOUSLY
326	566	RABID
327	281	FESTIVITIES
328	179	DISPERSE
329	496	T
330	91	SANELY
331	281	EMERGENCY
332	566	EXTRA
333	496	CHATEAU
334	179	DRIP
335	91	FOURTH
336	281	STAGECOACH
337	566	ITCHY
338	496	STRAGGLE
339	91	TUNEUP
340	179	SUPERINTEND
341	566	DECRY
342	281	SOLIDNESS
343	91	ENFOLD
344	496	E
345	179	UNSEEN
346	281	NUTRITIONAL
347	91	REFINEMENT
348	566	OUTER
349	179	UNNECESSARY
350	496	SWITCH
351	281	NURSE
352	91	SHORTCUT
353	566	TEPEE
354	496	REAP
355	281	EMBRACE
356	179	RACY
357	91	VENEER
358	281	MEDALLION
359	496	H
360	566	EAVES
361	179	REACTIONARY
362	281	SHORTSTOP
363	91	DISCOURAGING
364	496	POLITE
365	179	RATION
366	281	SHORTWINDED
367	566	RELAY
368	91	HONEST
369	496	MN
370	281	NIGHTCAP
371	179	GRAVITATION
372	91	ALLPURPOSE
373	496	BAREBACK
374	566	EVICT
375	281	EXPRESSIVE
376	179	GAIT
377	91	MAGNETIC
378	496	TISSUE
379	566	PROUD
380	179	DEROGATION
381	281	STOICALLY
382	496	ZN
383	91	AMORTIZE
384	179	DONOR
385	566	OAKEN
386	496	E
387	281	NANNY
388	91	PIGEONTOED
389	179	CORRESPONDENT
390	496	BOUILLON
391	566	CRIED
392	281	NOMINAL
393	91	BAREFOOTED
394	179	SCEPTER
395	281	DIPSOMANIA
396	496	MENTALITY
397	566	OUTRE
398	91	MISPRONOUNCE
399	179	SELFRESPECTING
400	281	SKULDUGGERY
401	496	SUPERVISE
402	91	RENOUNCE
403	566	DEPTH
404	179	SINGLE
