City,Park,Instruction,Clue,3 clues,c11,c12,c13,c13_add,c21,c22,c23,c23_add,c31,c32,c33,c33_add
"Seattle, WA",Ravenna Park / Cowen Park,"Go to Ravenna Park / Cowen Park. The two parks are connected, there is no clear boundary between them, and you'll need to visit both for this puzzle, so you can start on either side.","Near the center of the park, on the main trail by the creek, there is a small metal sign with an illustration of a duck, a dragonfly, and local plants. What are the first 3 words on the sign?",WETLAND ENHANCEMENT REESTABLISHING,ACORN,RACHEL,EQUINOX,Take the last letter.,GRAPES,UPACHIBAGOBA,BALD EAGLE,Take the second letter.,FROST,DEER MOUSE,3,Add one.
"Chicago, IL",Grant Park,"Go to the southwest part of Grant Park, between Jackson and Roosevelt, and Michigan and Columbus. All the clues, when referring to the park, will only refer to this sub-region.","Find the mounted statue on an elevated region in the park, which contains three wreaths on the south side. Take the first word in the first wreath, the third word in the second wreath, and the second word in the third wreath, going from left to right.",FORT CHURCH CHAMPIONS,SAN FRANCISCO,21,LYRE,Take the letter before the second letter of this word in the alphabet.,9057,NORTH,JAN KOSMOWSKI,Take the second letter of the first word.,11,SQUARE,16,Take its square root.
"Berkeley, CA",The Albany Bulb,Go to the Albany Bulb ,"On the upper path to the bulb, locate a series of black and white portraits. To the right of the woman named Sandra, what three word phrase do you see in pink mosaic tile? Before using the second word, add an E to it.",SAY HERE NAME,RUTH,PI,W,Take the next letter in the alphabet.,8060,40,ACE,Take the first letter.,TENTACLES,ANTIFRAGILE,53,Divide by 13 and ignore the remainder.
"San Jose, CA",Kelley Park,Go to Kelley Park (Senter Road side).,"There is a parking lot next to Leininger Community Center. On the eastern corner of this parking lot, there is a large Welcome sign to the zoo along with a smaller white sign with a long list of park rules and things that are not allowed. For example, you are only allowed to have alcohol in picnic areas and not in parking lots. What are the three examples of alcohol that they give?",BEER WINE SAKE,SOFTBALL,BRICK,C,Put that letter through the Atbash cipher.,HOT COALS ONLY,12,CALIFORNIAPOPPY,Take the second letter.,FRIENDSHIP,NRKE,8,Divide by two.
"Boston, MA",Back Bay Fens,Go to the Boylston St bridge at the northern end of the Fens.,Find the plaque on the statue in the northeast corner. What are the words on the bottom line?,FOR HER HEROES,34,26,BURNS,,3,14,A DESIGNATED BOSTON LANDMARK ESTABLISHED,,SCULPTOR,1675,ROBERT DAWSON EVANS GALLERIES FOR PAINTINGS MDCCCCXII - MDCCCCXIV,
"Cambridge, MA",Donnelly Field,"Go to Donnelly Field. You'll need to walk around the whole block, but you won't need to cross York St, Berkshire St, Cambridge St, or Willow St.",There's a sign on the fence behind home plate of the south-east field which says when Donnelly Field was established. What are the last three words written in all capital letters on the sign?,LITTLE BASEBALL LEAGUE,FREE,113,COMMUNITY,Take the letter before the last letter of this word in the alphabet.,MINT,PRIME,THROAT,Take the second-to-last letter of the word.,ELLEN,BISON,34,Take the last digit of the result.
"Brooklyn, NY",Fort Greene Park,Go to Fort Greene Park.,"Find the sign at the edge of the clearing that explains the monument in the middle of the park. This sign is not one with a list of names, but one that explains the monument in a bunch of paragraphs. Take the last three words on the sign that are more than three letters long.",SPLENDOR ANOTHER CENTURY,ALUMINUM,PURPLE,X,,WALLABOUT,100,VAUX,Take the second letter.,FITNESS,GOLDFINCH,4,
"Palo Alto, CA",Mitchell Park,Go to Mitchell Park in Palo Alto,"Near the lower entrance of the Magical bridge playground (near the Southern Mitchell Park - not JLS - tennis courts), you’ll see a white sign enumerating the playground rules. Read the first word of the 7th rule, the 11th word of the 8th rule, and the 5th word of the 9th rule. What did you read?",CURSING PETS PROHIBITED,JEREMY LIN,PLANE,12,Double the number and take that letter of the alphabet.,PRIDE,FIRE,BEAR,Take the second-to-last letter of the word.,FRANCISQUITO,KIDS,24,Divide by 6.
"Los Angeles, CA",Fox Hills Park,Go to the Fox Hills Park on Green Valley Circle. ,"Go to the park sign at the south entrance and look for the plaque in the ground. Take the fifth, eleventh, and fourteenth last names.",ALEXANDER JONES TURNER,NDS,DC,14,Add ten and take the corresponding letter of the alphabet.,NO ENTRY,96,AUEI,Take the first one.,OWL,151016,4,
"Tartu, Estonia",Toomemägi,Go to Toomemägi.,"Between Musumägi and the church, there is a large statue with raised metal text on the bottom. Take the three words on the fourth line.",IGAVIKKU OMALE OTSIDA,AAVIK,HTG,TIC TAC TOE,What symbol used in that game takes multiple strokes to write?,ETHNOGRAPHY,1234,TAMMSAARE,What letter appears the most in that word?,KURADISILD,1913,17,Divide by 4 and round down.
